candidate,fold,feature,coefficient
strength_C0.01,1,elo_home_prob,0.08510535387159794
strength_C0.01,1,diff_win_r20,-0.021822956647156076
strength_C0.01,1,diff_run_diff_r20,0.030498724368437476
strength_C0.01,1,diff_bat_ops_r20,0.13098822064806262
strength_C0.01,1,diff_bullpen_era_r20,-0.02016762299130881
strength_C0.01,1,diff_bullpen_whip_r20,-0.034869963269026014
strength_C0.1,1,elo_home_prob,0.20396814035429256
strength_C0.1,1,diff_win_r20,-0.15868725769696637
strength_C0.1,1,diff_run_diff_r20,-0.018083058842450005
strength_C0.1,1,diff_bat_ops_r20,0.22276703112861684
strength_C0.1,1,diff_bullpen_era_r20,-0.02031848873307675
strength_C0.1,1,diff_bullpen_whip_r20,-0.0648994216798647
strength_starter_C0.01,1,elo_home_prob,0.07667932375852494
strength_starter_C0.01,1,diff_win_r20,-0.02640134938518496
strength_starter_C0.01,1,diff_run_diff_r20,0.026879069049157885
strength_starter_C0.01,1,diff_bat_ops_r20,0.13436806613506405
strength_starter_C0.01,1,diff_bullpen_era_r20,-0.022597375673398444
strength_starter_C0.01,1,diff_bullpen_whip_r20,-0.031929203743628086
strength_starter_C0.01,1,diff_starter_era_r5,0.05038681298868146
strength_starter_C0.01,1,diff_starter_whip_r5,-0.047678761996258104
strength_starter_C0.01,1,diff_starter_k9_r5,0.07032497614699725
strength_starter_C0.01,1,diff_starter_bb9_r5,-0.022860542265735417
strength_starter_C0.01,1,diff_starter_hr9_r5,0.0606868262049696
strength_starter_C0.01,1,diff_starter_ip_r5,0.10168758878507586
strength_starter_C0.1,1,elo_home_prob,0.18429314799829577
strength_starter_C0.1,1,diff_win_r20,-0.1659615248363168
strength_starter_C0.1,1,diff_run_diff_r20,-0.020446299600420232
strength_starter_C0.1,1,diff_bat_ops_r20,0.23213669566821926
strength_starter_C0.1,1,diff_bullpen_era_r20,-0.029167448524276895
strength_starter_C0.1,1,diff_bullpen_whip_r20,-0.05619570879321787
strength_starter_C0.1,1,diff_starter_era_r5,0.1352651538956242
strength_starter_C0.1,1,diff_starter_whip_r5,-0.12580109173874177
strength_starter_C0.1,1,diff_starter_k9_r5,0.09596665089727041
strength_starter_C0.1,1,diff_starter_bb9_r5,-0.0048818481268969385
strength_starter_C0.1,1,diff_starter_hr9_r5,0.07865730549974724
strength_starter_C0.1,1,diff_starter_ip_r5,0.15382293106850795
compact_C0.01,1,elo_home_prob,0.07640452626718354
compact_C0.01,1,diff_win_r20,-0.026314020260693086
compact_C0.01,1,diff_run_diff_r20,0.026876879210266505
compact_C0.01,1,diff_bat_ops_r20,0.13452846952332212
compact_C0.01,1,diff_bullpen_era_r20,-0.02212016996354483
compact_C0.01,1,diff_bullpen_whip_r20,-0.030952380281937707
compact_C0.01,1,diff_starter_era_r5,0.05042584213168336
compact_C0.01,1,diff_starter_whip_r5,-0.047756850153155846
compact_C0.01,1,diff_starter_k9_r5,0.07018242551066368
compact_C0.01,1,diff_starter_bb9_r5,-0.022818585572771572
compact_C0.01,1,diff_starter_hr9_r5,0.059902202101253285
compact_C0.01,1,diff_starter_ip_r5,0.10174230916828363
compact_C0.01,1,diff_days_rest,-0.0040629911777781405
compact_C0.01,1,diff_games_last7,0.010007232660583605
compact_C0.01,1,diff_bullpen_pitches_usage_3,-0.003594187082063353
compact_C0.1,1,elo_home_prob,0.18243016623944927
compact_C0.1,1,diff_win_r20,-0.1649143374597721
compact_C0.1,1,diff_run_diff_r20,-0.01917454936037448
compact_C0.1,1,diff_bat_ops_r20,0.2316404557230722
compact_C0.1,1,diff_bullpen_era_r20,-0.029022150745955315
compact_C0.1,1,diff_bullpen_whip_r20,-0.05474960348871516
compact_C0.1,1,diff_starter_era_r5,0.13745860312059943
compact_C0.1,1,diff_starter_whip_r5,-0.12865279012927808
compact_C0.1,1,diff_starter_k9_r5,0.095963014537272
compact_C0.1,1,diff_starter_bb9_r5,-0.0043773903597686655
compact_C0.1,1,diff_starter_hr9_r5,0.0773700078652352
compact_C0.1,1,diff_starter_ip_r5,0.15305158881539346
compact_C0.1,1,diff_days_rest,-0.0026625996691251094
compact_C0.1,1,diff_games_last7,0.010727856154774626
compact_C0.1,1,diff_bullpen_pitches_usage_3,-0.002123584768621236
strength_C0.01,2,elo_home_prob,0.12029639577111592
strength_C0.01,2,diff_win_r20,-0.06441251462234064
strength_C0.01,2,diff_run_diff_r20,0.024595065770981094
strength_C0.01,2,diff_bat_ops_r20,0.13621532236699238
strength_C0.01,2,diff_bullpen_era_r20,-0.011211081205278165
strength_C0.01,2,diff_bullpen_whip_r20,-0.07505168080529946
strength_C0.1,2,elo_home_prob,0.21169617695085788
strength_C0.1,2,diff_win_r20,-0.1748923368406842
strength_C0.1,2,diff_run_diff_r20,0.0008474249453860855
strength_C0.1,2,diff_bat_ops_r20,0.1862730972905436
strength_C0.1,2,diff_bullpen_era_r20,0.004092433348646873
strength_C0.1,2,diff_bullpen_whip_r20,-0.11584026026516844
strength_starter_C0.01,2,elo_home_prob,0.10904012921312625
strength_starter_C0.01,2,diff_win_r20,-0.06831492913202339
strength_starter_C0.01,2,diff_run_diff_r20,0.010959344819258492
strength_starter_C0.01,2,diff_bat_ops_r20,0.14928598510489552
strength_starter_C0.01,2,diff_bullpen_era_r20,-0.013202809004259776
strength_starter_C0.01,2,diff_bullpen_whip_r20,-0.07471672371042733
strength_starter_C0.01,2,diff_starter_era_r5,-0.0097023081341683
strength_starter_C0.01,2,diff_starter_whip_r5,-0.0454759283197837
strength_starter_C0.01,2,diff_starter_k9_r5,0.0892161320078165
strength_starter_C0.01,2,diff_starter_bb9_r5,-0.043601263704099086
strength_starter_C0.01,2,diff_starter_hr9_r5,0.011133760707569433
strength_starter_C0.01,2,diff_starter_ip_r5,0.06393428327696055
strength_starter_C0.1,2,elo_home_prob,0.19519279888023894
strength_starter_C0.1,2,diff_win_r20,-0.1756484263080772
strength_starter_C0.1,2,diff_run_diff_r20,-0.025027489570334314
strength_starter_C0.1,2,diff_bat_ops_r20,0.21007725351194947
strength_starter_C0.1,2,diff_bullpen_era_r20,-0.0023539065502616537
strength_starter_C0.1,2,diff_bullpen_whip_r20,-0.11644457879164567
strength_starter_C0.1,2,diff_starter_era_r5,-0.003916052280113837
strength_starter_C0.1,2,diff_starter_whip_r5,-0.049346649979242846
strength_starter_C0.1,2,diff_starter_k9_r5,0.10450797339054209
strength_starter_C0.1,2,diff_starter_bb9_r5,-0.04983221320089124
strength_starter_C0.1,2,diff_starter_hr9_r5,0.011983394041305113
strength_starter_C0.1,2,diff_starter_ip_r5,0.07718648703755188
compact_C0.01,2,elo_home_prob,0.10742511403270942
compact_C0.01,2,diff_win_r20,-0.06879684116291973
compact_C0.01,2,diff_run_diff_r20,0.01200547553200518
compact_C0.01,2,diff_bat_ops_r20,0.14851380363853736
compact_C0.01,2,diff_bullpen_era_r20,-0.01073608125140112
compact_C0.01,2,diff_bullpen_whip_r20,-0.07605913431650917
compact_C0.01,2,diff_starter_era_r5,-0.00862739521594687
compact_C0.01,2,diff_starter_whip_r5,-0.046670254163939
compact_C0.01,2,diff_starter_k9_r5,0.09103673597727409
compact_C0.01,2,diff_starter_bb9_r5,-0.0434765649103418
compact_C0.01,2,diff_starter_hr9_r5,0.009259918533089948
compact_C0.01,2,diff_starter_ip_r5,0.06707713216332042
compact_C0.01,2,diff_days_rest,-0.06653606666817477
compact_C0.01,2,diff_games_last7,-0.003581987404809456
compact_C0.01,2,diff_bullpen_pitches_usage_3,-0.0020469931305369823
compact_C0.1,2,elo_home_prob,0.19241696017833917
compact_C0.1,2,diff_win_r20,-0.17618977612955464
compact_C0.1,2,diff_run_diff_r20,-0.02134461017813755
compact_C0.1,2,diff_bat_ops_r20,0.20871059446777013
compact_C0.1,2,diff_bullpen_era_r20,0.0043917456922415166
compact_C0.1,2,diff_bullpen_whip_r20,-0.12134269030803374
compact_C0.1,2,diff_starter_era_r5,-0.0005514790080426497
compact_C0.1,2,diff_starter_whip_r5,-0.05226561136241858
compact_C0.1,2,diff_starter_k9_r5,0.1069876728824836
compact_C0.1,2,diff_starter_bb9_r5,-0.049172518212936375
compact_C0.1,2,diff_starter_hr9_r5,0.00898583136221972
compact_C0.1,2,diff_starter_ip_r5,0.0815877085221467
compact_C0.1,2,diff_days_rest,-0.07964657290564015
compact_C0.1,2,diff_games_last7,-0.0035592492752031107
compact_C0.1,2,diff_bullpen_pitches_usage_3,0.0015304564705879164
strength_C0.01,3,elo_home_prob,0.19181067993941056
strength_C0.01,3,diff_win_r20,-0.09926782311830554
strength_C0.01,3,diff_run_diff_r20,0.040774279665016934
strength_C0.01,3,diff_bat_ops_r20,0.0801063210594852
strength_C0.01,3,diff_bullpen_era_r20,0.01775239442741206
strength_C0.01,3,diff_bullpen_whip_r20,-0.10714353698403893
strength_C0.1,3,elo_home_prob,0.28928457746786973
strength_C0.1,3,diff_win_r20,-0.20662545917939593
strength_C0.1,3,diff_run_diff_r20,0.04327143785248454
strength_C0.1,3,diff_bat_ops_r20,0.09232050725986007
strength_C0.1,3,diff_bullpen_era_r20,0.056939275854394476
strength_C0.1,3,diff_bullpen_whip_r20,-0.15568404341292338
strength_starter_C0.01,3,elo_home_prob,0.18055021283951583
strength_starter_C0.01,3,diff_win_r20,-0.09702761966483976
strength_starter_C0.01,3,diff_run_diff_r20,0.03358705359084384
strength_starter_C0.01,3,diff_bat_ops_r20,0.08319416288537557
strength_starter_C0.01,3,diff_bullpen_era_r20,0.016867149762318387
strength_starter_C0.01,3,diff_bullpen_whip_r20,-0.10190653309209137
strength_starter_C0.01,3,diff_starter_era_r5,0.02130136201302182
strength_starter_C0.01,3,diff_starter_whip_r5,0.007125447297458248
strength_starter_C0.01,3,diff_starter_k9_r5,0.12187959982322026
strength_starter_C0.01,3,diff_starter_bb9_r5,-0.01884137579952883
strength_starter_C0.01,3,diff_starter_hr9_r5,0.020989103666676473
strength_starter_C0.01,3,diff_starter_ip_r5,0.07268793827345195
strength_starter_C0.1,3,elo_home_prob,0.2730368316257559
strength_starter_C0.1,3,diff_win_r20,-0.2000369672607757
strength_starter_C0.1,3,diff_run_diff_r20,0.0355824928719143
strength_starter_C0.1,3,diff_bat_ops_r20,0.09547139320897824
strength_starter_C0.1,3,diff_bullpen_era_r20,0.054351229647769804
strength_starter_C0.1,3,diff_bullpen_whip_r20,-0.14844872515656155
strength_starter_C0.1,3,diff_starter_era_r5,0.01654649989740521
strength_starter_C0.1,3,diff_starter_whip_r5,0.025728000944072894
strength_starter_C0.1,3,diff_starter_k9_r5,0.13354077052803268
strength_starter_C0.1,3,diff_starter_bb9_r5,-0.02450807812943618
strength_starter_C0.1,3,diff_starter_hr9_r5,0.02327936310015405
strength_starter_C0.1,3,diff_starter_ip_r5,0.08832767243619676
compact_C0.01,3,elo_home_prob,0.18535529644576562
compact_C0.01,3,diff_win_r20,-0.09936735580360127
compact_C0.01,3,diff_run_diff_r20,0.04163143617997105
compact_C0.01,3,diff_bat_ops_r20,0.07844082061736905
compact_C0.01,3,diff_bullpen_era_r20,0.018492676396312847
